"0,1","0,090","0,098","0,094","-0,006","0,006","6,00"
"0,2","0,190","0,190","0,190","-0,010","0,010","5,00"
"0,3","0,290","0,290","0,290","-0,010","0,010","3,33"
"0,4","0,390","0,380","0,385","-0,015","0,015","3,75"
"0,5","0,490","0,476","0,483","-0,017","0,017","3,40"
"0,6","0,576","0,510","0,543","-0,057","0,057","9,50"
"0,7","0,670","0,670","0,670","-0,030","0,030","4,29"
"0,8","0,766","0,770","0,768","-0,032","0,032","4,00"
"0,9","0,860","0,860","0,860","-0,040","0,040","4,44"
"1,0","0,960","0,960","0,960","-0,040","0,040","4,00"
"1,1","1,056","1,050","1,053","-0,047","0,047","4,27"
"1,2","1,150","1,156","1,153","-0,047","0,047","3,92"
"1,3","1,250","1,250","1,250","-0,050","0,050","3,85"
"1,4","1,346","1,340","1,343","-0,057","0,057","4,07"
"1,5","1,440","1,440","1,440","-0,060","0,060","4,00"
